biochemical.chemicalFormula	biochemical.clearance	biochemical.halfLife	biochemical.molecularWeight	biochemical.smiles	biochemical.state	biochemical.volumeOfDistribution	enzymes.PIds	enzymes.genes	enzymes.names	externalLinks	externalLinks.BindingDB	externalLinks.ChEBI	externalLinks.ChEMBL	externalLinks.ChemSpider	externalLinks.Drugs.com	externalLinks.Guide to Pharmacology	externalLinks.Human Metabolome Database	externalLinks.KEGG Compound	externalLinks.KEGG Drug	externalLinks.PDBe Ligand	externalLinks.PDRhealth	externalLinks.PharmGKB	externalLinks.PubChem Compound	externalLinks.PubChem Substance	externalLinks.RxList	externalLinks.RxNav	externalLinks.Therapeutic Targets Database	externalLinks.Wikipedia	externalLinks.ZINC	general.brandNames	general.genericName	general.groups	general.id	general.inChI	general.inChIKey	general.maxPhase	general.summary	general.toxicity	general.type	pathways.links	pathways.names	propertiesAdmet	propertiesAdmet.Ames test	propertiesAdmet.Biodegradation	propertiesAdmet.Blood Brain Barrier	propertiesAdmet.CYP450 1A2 substrate	propertiesAdmet.CYP450 2C19 inhibitor	propertiesAdmet.CYP450 2C9 inhibitor	propertiesAdmet.CYP450 2C9 substrate	propertiesAdmet.CYP450 2D6 inhibitor	propertiesAdmet.CYP450 2D6 substrate	propertiesAdmet.CYP450 3A4 inhibitor	propertiesAdmet.CYP450 3A4 substrate	propertiesAdmet.CYP450 inhibitory promiscuity	propertiesAdmet.Caco-2 permeable	propertiesAdmet.Carcinogenicity	propertiesAdmet.Human Intestinal Absorption	propertiesAdmet.P-glycoprotein inhibitor I	propertiesAdmet.P-glycoprotein inhibitor II	propertiesAdmet.P-glycoprotein substrate	propertiesAdmet.Rat acute toxicity	propertiesAdmet.Renal organic cation transporter	propertiesAdmet.hERG inhibition (predictor I)	propertiesAdmet.hERG inhibition (predictor II)	propertiesExperimental	propertiesExperimental.Caco2 permeability	propertiesExperimental.Radioactivity (mCi/mL)	propertiesExperimental.boiling point (°C)	propertiesExperimental.logP	propertiesExperimental.logS	propertiesExperimental.melting point (°C)	propertiesExperimental.pKa	propertiesExperimental.water solubility	propertiesPredicted.Bioavailability	propertiesPredicted.Ghose Filter	propertiesPredicted.Hydrogen Acceptor Count	propertiesPredicted.Hydrogen Donor Count	propertiesPredicted.MDDR-like Rule	propertiesPredicted.Number of Rings	propertiesPredicted.Physiological Charge	propertiesPredicted.Polar Surface Area	propertiesPredicted.Polarizability	propertiesPredicted.Refractivity	propertiesPredicted.Rotatable Bond Count	propertiesPredicted.Rule of Five	propertiesPredicted.Veber's Rule	propertiesPredicted.Water Solubility	propertiesPredicted.logP	propertiesPredicted.logS	propertiesPredicted.pKa (Strongest Acidic)	propertiesPredicted.pKa (Strongest Basic)	targets.PIds	targets.genes	targets.names
C9H15NO5	Not Available	Not Available	217.2191	[H][C@@](CCC)(NC(=O)CCC(O)=O)C(O)=O	Solid	Not Available								5254643						SN0			6852189	99445025							N-(3-carboxypropanoyl)-L-norvaline	Experimental	DB08554	InChI=1S/C9H15NO5/c1-2-3-6(9(14)15)10-7(11)4-5-8(12)13/h6H,2-5H2,1H3,(H,10,11)(H,12,13)(H,14,15)/t6-/m0/s1	HRAPDLBXHOBAKA-LURJTMIESA-N			Not Available	Small Molecule				Non AMES toxic	Ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Non-inhibitor	Non-inhibitor	Non-substrate	1.7519 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	Yes	5	3	No	0	-2	103.7 Å2	21.3 Å3	49.96 m3·mol-1	7	Yes	No	9.55 mg/mL	0.032	-1.4	3.64	-2	Q5LI27;!Q8P8J2	Not Available;!argF'	1. Putative ornithine carbamoyltransferase;!2. N-acetylornithine carbamoyltransferase
C19H35N3O6S	Not Available	Not Available	433.563	[H][C@@](CC)(C=O)[C@@]1([H])N(CC[C@]1([H])NS(C)(=O)=O)C(=O)[C@@]([H])(NC(=O)OC(C)(C)C)C(C)C	Solid	Not Available								4883464						TRL			6323528	99445115					ZINC000038321466		{1-[2-(1-FORMYL-PROPYL)-3-METHANESULFONYLAMINO-PYRROLIDINE-1-CARBONYL]-2-METHYL-PROPYL}-CARBAMIC ACID TERT-BUTYL ESTER	Experimental	DB08644	InChI=1S/C19H35N3O6S/c1-8-13(11-23)16-14(21-29(7,26)27)9-10-22(16)17(24)15(12(2)3)20-18(25)28-19(4,5)6/h11-16,21H,8-10H2,1-7H3,(H,20,25)/t13-,14+,15+,16-/m1/s1	NOWIRVOXJOWTSQ-FXUDXRNXSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Inhibitor	Non-substrate	2.6872 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	Yes	5	2	No	1	0	121.88 Å2	46.01 Å3	108.25 m3·mol-1	9	Yes	No	0.826 mg/mL	0.51	-2.7	10.36	-3.1	P27958	Not Available	1. Genome polyprotein
C21H35N5O3	Not Available	Not Available	405.5343	[H][C@@](CC1CCCCC1)(NC(=O)N1CCOCC1)C(=O)NC1(CCN(C)CC1)C#N	Solid	Not Available					50401770		CHEMBL1236882	8063229						Y11			9887557	99445223					ZINC000013918552		N-[(1S)-2-[(4-cyano-1-methylpiperidin-4-yl)amino]-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide	Experimental	DB08752	InChI=1S/C21H35N5O3/c1-25-9-7-21(16-22,8-10-25)24-19(27)18(15-17-5-3-2-4-6-17)23-20(28)26-11-13-29-14-12-26/h17-18H,2-15H2,1H3,(H,23,28)(H,24,27)/t18-/m0/s1	IRSOCWQJNYLTDD-SFHVURJKSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	2.6378 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor										1	Yes	5	2	No	3	1	97.7 Å2	44.73 Å3	110.43 m3·mol-1	5	Yes	No	0.678 mg/mL	0.47	-2.8	11.96	7.46			
C25H36N4O4	Not Available	Not Available	456.5777	[H][C@@](CC1CCCCC1)(NC(=O)N1CCOCC1)C(=O)N[C@@](C)(COCC1=CC=CC=C1)C#N	Solid	Not Available								25061202						Y15			46937176	99445226					ZINC000038970701		N-[(1S)-2-{[(1R)-2-(benzyloxy)-1-cyano-1-methylethyl]amino}-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide	Experimental	DB08755	InChI=1S/C25H36N4O4/c1-25(18-26,19-33-17-21-10-6-3-7-11-21)28-23(30)22(16-20-8-4-2-5-9-20)27-24(31)29-12-14-32-15-13-29/h3,6-7,10-11,20,22H,2,4-5,8-9,12-17,19H2,1H3,(H,27,31)(H,28,30)/t22-,25+/m0/s1	MQWUTQCRGGBPBT-WIOPSUGQSA-N			Not Available	Small Molecule				Non AMES toxic	Not ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Non-inhibitor	Substrate	2.6242 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Inhibitor										1	Yes	5	2	Yes	3	0	103.69 Å2	48.97 Å3	125.06 m3·mol-1	9	Yes	No	0.03 mg/mL	2.53	-4.2	11.76	-1.7	P25774	CTSS	1. Cathepsin S
C11H16N2O8	Not Available	Not Available	304.255	CC(=O)N[C@@H](CC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O	Solid	Not Available						135289	CHEMBL2105616	182277	Drugs.com Drug Page				D07374				210320	175427113				N-Acetylaspartylglutamic_acid	ZINC000002504638		Spaglumic acid	Experimental	DB08835	InChI=1S/C11H16N2O8/c1-5(14)12-7(11(20)21)4-8(15)13-6(10(18)19)2-3-9(16)17/h6-7H,2-4H2,1H3,(H,12,14)(H,13,15)(H,16,17)(H,18,19)(H,20,21)/t6-,7-/m0/s1	GUCKKCMJTSNWCU-BQBZGAKWSA-N	4	Spaglumic acid is the β-aspartyl isoform of N-Acetyl-l-aspartylglutamate, a naturally occurring neurotransmitter, used in allergic eye conditions due to its ability to stabilize mast cells.	Not Available	Small Molecule				Non AMES toxic	Ready biodegradable	+	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	-	Non-inhibitor	Non-inhibitor	Non-substrate	1.7395 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	8	5	No	0	-3	170.1 Å2	27.37 Å3	64.06 m3·mol-1	9	Yes	No	3.22 mg/mL	-2.3	-2	3.01	-2	Q04609	FOLH1	1. Glutamate carboxypeptidase 2
C29H39N5O7	Not Available	Not Available	569.659	CC(C)C[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)CC1=CC=C(O)C=C1)C(O)=O	Solid	Not Available					21025		CHEMBL340032	5292936														DADLE	ZINC000014952092		DADLE	Experimental	DB08856	InChI=1S/C29H39N5O7/c1-17(2)13-24(29(40)41)34-28(39)23(15-19-7-5-4-6-8-19)33-25(36)16-31-26(37)18(3)32-27(38)22(30)14-20-9-11-21(35)12-10-20/h4-12,17-18,22-24,35H,13-16,30H2,1-3H3,(H,31,37)(H,32,38)(H,33,36)(H,34,39)(H,40,41)/t18-,22+,23+,24-/m1/s1	ZHUJMSMQIPIPTF-IBURTVSXSA-N			Not Available	Small Molecule																																			0	No	8	7	No	2	0	199.95 Å2	59.13 Å3	150.09 m3·mol-1	15	No	No	0.00963 mg/mL	-1.3	-4.8	3.7	7.73			
C27H45N5O5	Boceprevir has a mean total body clearance of 161 liters per hour Label.	Boceprevir has a mean half-life of elimination of 3.4 hours Label.	519.6767	[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C	Solid	The mean apparent volume of distribution for Bocepravir is 772 litres at steady state Label.	P08684;!P20815	CYP3A4;!CYP3A5	1. Cytochrome P450 3A4;!2. Cytochrome P450 3A5		12311	68621	CHEMBL218394	8499830	Drugs.com Drug Page				D08876	HU5		PA165948902	10324367	175427127	RxList Drug Page	1102129		Boceprevir			Boceprevir	Approved, Withdrawn	DB08873	InChI=1S/C27H45N5O5/c1-25(2,3)20(30-24(37)31-26(4,5)6)23(36)32-13-15-17(27(15,7)8)18(32)22(35)29-16(19(33)21(28)34)12-14-10-9-11-14/h14-18,20H,9-13H2,1-8H3,(H2,28,34)(H,29,35)(H2,30,31,37)/t15-,16?,17-,18-,20+/m0/s1	LHHCSNFAOIFYRV-DOVBMPENSA-N	4	Boceprevir is a hepatitis C virus NS3/4A protease inhibitor used in combination with other medications to treat chronic hepatitis C genotype 1 infection. Boceprevir is not indicated as monotherapy.	The most commonly reported adverse reactions in adult subjects were fatigue, anemia, nausea, headache, and dysgeusia when Boceprevir was used in combination with Ribavirin and Peginterferon alfa-2a/Peginterferon alfa-2b Label.	Small Molecule				Non AMES toxic	Ready biodegradable	-	Non-inhibitor	Non-inhibitor	Non-inhibitor	Non-substrate	Non-inhibitor	Non-substrate	Non-inhibitor	Substrate	Low CYP Inhibitory Promiscuity	-	Non-carcinogens	+	Inhibitor	Inhibitor	Substrate	2.6263 LD50, mol/kg	Non-inhibitor	Weak inhibitor	Non-inhibitor										1	No	5	4	Yes	3	0	150.7 Å2	56.79 Å3	138.2 m3·mol-1	10	No	No	0.0234 mg/mL	1.78	-4.4	12.44	-0.91	B0B3C9	NS3/4A	1. NS3/4A protein
C16H22N6O4	Not Available	Not Available	362.3837	[H][C@@](CC1=CN=CN1)(NC(=O)[C@]1([H])CCC(=O)N1)C(=O)N1CCC[C@@]1([H])C(N)=O	Not Available	Not Available					50072394	35940	CHEMBL1472	554166	Drugs.com Drug Page		HMDB0060080	C03958	D00176				638678	347827851	RxList Drug Page	10580		Protirelin	ZINC000004096261	Relefact Trh	Protirelin	Approved, Investigational	DB09421	InChI=1S/C16H22N6O4/c17-14(24)12-2-1-5-22(12)16(26)11(6-9-7-18-8-19-9)21-15(25)10-3-4-13(23)20-10/h7-8,10-12H,1-6H2,(H2,17,24)(H,18,19)(H,20,23)(H,21,25)/t10-,11-,12-/m0/s1	XNSAINXGIQZQOO-SRVKXCTJSA-N	3	Protirelin is a synthetic analogue of thyrotropin-releasing hormone that has been used during diagnostic tests to evaluate function of the thyroid gland.	Not Available	Small Molecule																																			1	No	5	4	Yes	3	0	150.28 Å2	35.03 Å3	89.76 m3·mol-1	6	Yes	No	4.18 mg/mL	-3.3	-1.9	11.15	6.74	P34981	TRHR	1. Thyrotropin Releasing Hormone Receptor
C18H24N2O5	The disposition of enalaprilat in patients with renal insufficiency is similar to that in patients with normal renal function until the glomerular filtration rate is 30 mL/min or less. Renal clearance was 158 ± 47 ml/min.	11 hr	348.3936	[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O	Not Available	Not Available					50367254	4786	CHEMBL577	4575429			HMDB0041886	C11720	D03769	EAL			5462501	347827859	RxList Drug Page	3829		Enalaprilat	ZINC000003812851		Enalaprilat	Approved	DB09477	InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14-,15-/m0/s1	LZFZMUMEGBBDTC-QEJZJMRPSA-N	4	Enalaprilat is an antihypertensive agent used for the management of hypertension when oral therapy is not practical.	Adverse experiences occurring in 0.5 to 1.0 percent of patients in controlled clinical trials included: myocardial infarction, fatigue, dizziness, fever, rash and constipation.Angioedema has also been reported in patients receiving enalaprilat, with an incidence higher in black than in non-black patients. Angioedema associated with laryngeal edema may be fatal. If angioedema of the face, extremities, lips, tongue, glottis and/or larynx occurs, treatment with enalaprilat should be discontinued and appropriate therapy instituted immediately . Rarer adverse effects that are less likely, but should be monitored for, include development of anaphylaxis, hypotension, agranulocytosis, hepatic failure, hyperkalemia, and persistent cough. Furthermore, ACE inhibitors should be avoided during pregnancy as they can cause fetal and neonatal morbidity and death. When pregnancy is detected, ACE inhibitors should be discontinued as soon as possible. Use during the second and third trimesters of pregnancy has been associated with fetal and neonatal injury, including hypotension, neonatal skull hypoplasia, anuria, reversible or irreversible renal failure, and death.	Small Molecule																																			1	No	6	3	No	2	-1	106.94 Å2	35.82 Å3	90.06 m3·mol-1	8	Yes	No	0.876 mg/mL	-1.1	-2.6	3.13	7.83	P12821;!P46663	ACE;!BDKRB1	1. Angiotensin-converting enzyme;!2. B1 bradykinin receptor
C31H41N5O5	No pharmacokinetic related to the clearance rate was found in current literature.	To know more about the pharmacokinetics please visit Ergoloid mesylate.	563.699	[H][C@@]12CCCN1C(=O)[C@H](C(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C	Solid	To know more about the pharmacokinetics please visit Ergoloid mesylate.	P08684	CYP3A4	1. Cytochrome P450 3A4			59909	CHEMBL2365712	147720												3415		Dihydroergocornine	ZINC000004215648		Dihydroergocornine	Approved	DB11273	InChI=1S/C31H41N5O5/c1-16(2)26-28(38)35-11-7-10-24(35)31(40)36(26)29(39)30(41-31,17(3)4)33-27(37)19-12-21-20-8-6-9-22-25(20)18(14-32-22)13-23(21)34(5)15-19/h6,8-9,14,16-17,19,21,23-24,26,32,40H,7,10-13,15H2,1-5H3,(H,33,37)/t19-,21-,23-,24+,26+,30-,31+/m1/s1	SEALOBQTUQIVGU-QNIJNHAOSA-N		Dihydroergocornine is a nootropic with an unknown mechanism of action indicated in individuals over sixty who manifest signs and symptoms of an idiopathic decline in mental capacity.	Dihydroergocornine effect on fertility was tested in preclinical studies. The reported effect was a decreased weight gain in neonates.10 Overdosing has also been reported to present effects of fall of blood pressure and a decrease in heart rate to 13 beats per minute.4 To know more about the pharmacokinetics please visit Ergoloid mesylate.	Small Molecule																													Decomposes	2.33		187 ºC			1	No	6	3	No	7	1	118.21 Å2	62 Å3	152.66 m3·mol-1	4	No	No	0.402 mg/mL	3.06	-3.2	9.71	8.39	BE0004862;!BE0004872;!BE0004888	;!;!	1. Serotonin Receptors (Protein Group);!2. Beta adrenergic receptor (Protein Group);!3. Alpha adrenergic receptor (Protein Group)
C32H43N5O5	In preclinical studies, the clearance rate after intravenous or oral administration was registered to be 1.129 L/h and 25.98 L/h respectively.14 To know more about the ergoloid mesylate mixture please visit Ergoloid mesylate.	Alpha-dihydroergocryptine has been studied in Parkinson disease models and it has shown a half-life of 12-16 hours.5 To know more about the ergoloid mesylate mixture please visit Ergoloid mesylate.	577.726	[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C	Solid	In preclinical studies, the volume of distribution after intravenous or oral administration was registered to be 11.054 L and 218.630 L respectively.14 To know more about the ergoloid mesylate mixture please visit Ergoloid mesylate.	P08684	CYP3A4	1. Cytochrome P450 3A4		81453	59919	CHEMBL1743263	102887												91170			ZINC000003929793		Dihydro-alpha-ergocryptine	Approved	DB11274	InChI=1S/C32H43N5O5/c1-17(2)12-25-29(39)36-11-7-10-26(36)32(41)37(25)30(40)31(42-32,18(3)4)34-28(38)20-13-22-21-8-6-9-23-27(21)19(15-33-23)14-24(22)35(5)16-20/h6,8-9,15,17-18,20,22,24-26,33,41H,7,10-14,16H2,1-5H3,(H,34,38)/t20-,22-,24-,25+,26+,31-,32+/m1/s1	PBUNVLRHZGSROC-VTIMJTGVSA-N		Dihydro-alpha-ergocryptine is a nootropic with an unknown mechanism of action indicated in individuals over sixty who manifest signs and symptoms of an idiopathic decline in mental capacity.	Alpha-dihydroergocryptine does not have effect in fertility and it does not present mutagenic potential.15 To know more about the ergoloid mesylate mixture please visit Ergoloid mesylate.	Small Molecule																													Decomposes	5.90		117 ºC			1	No	6	3	No	7	1	118.21 Å2	64.05 Å3	157.33 m3·mol-1	5	No	No	0.264 mg/mL	3.43	-3.3	9.71	8.39	P14416;!BE0004889;!P35462	DRD2;!;!DRD3	1. Dopamine D2 receptor;!2. D(1) dopamine receptor (Protein Group);!3. Dopamine D3 receptor
C32H43N5O5	Please refer to Ergoloid mesylate and to know more about the isomer please refer to Dihydro-alpha-ergocryptine.	Please refer to Ergoloid mesylate and to know more about the isomer please refer to Dihydro-alpha-ergocryptine.	577.726	[H][C@@]12CCCN1C(=O)[C@]([H])([C@H](C)CC)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)(O[C@@]21O)C(C)C	Solid	Please refer to Ergoloid mesylate and to know more about the isomer please refer to Dihydro-alpha-ergocryptine.						135927	CHEMBL2106411	59102												91171		Epicriptine	ZINC000004215812		Epicriptine	Approved	DB11275	InChI=1S/C32H43N5O5/c1-6-18(4)27-29(39)36-12-8-11-25(36)32(41)37(27)30(40)31(42-32,17(2)3)34-28(38)20-13-22-21-9-7-10-23-26(21)19(15-33-23)14-24(22)35(5)16-20/h7,9-10,15,17-18,20,22,24-25,27,33,41H,6,8,11-14,16H2,1-5H3,(H,34,38)/t18-,20-,22-,24-,25+,27+,31-,32+/m1/s1	SBFXHXZNBNFPHV-PXXBSISHSA-N		Epicriptine is a nootropic with an unknown mechanism of action indicated in individuals over sixty who manifest signs and symptoms of an idiopathic decline in mental capacity.	Please refer to Ergoloid mesylate and to know more about the isomer please refer to Dihydro-alpha-ergocryptine.	Small Molecule																													848 ºC at 760 mm Hg						1	No	6	3	No	7	1	118.21 Å2	63.58 Å3	157.26 m3·mol-1	5	No	No	0.276 mg/mL	3.5	-3.3	9.71	8.39	BE0009376		1. Dopamine receptor (Protein Group)
C14H24N6O4	Not Available	Prezatide is rapidly eliminated within minutes 5.	340.384	NCCCC[C@H](NC(=O)[C@H](CC1=CNC=N1)NC(=O)CN)C(O)=O	Solid	Not Available					50350478	75430	CHEMBL1814493	66263									73587	347827962		1368533			ZINC000013507674		Prezatide	Experimental	DB11296	InChI=1S/C14H24N6O4/c15-4-2-1-3-10(14(23)24)20-13(22)11(19-12(21)6-16)5-9-7-17-8-18-9/h7-8,10-11H,1-6,15-16H2,(H,17,18)(H,19,21)(H,20,22)(H,23,24)/t10-,11-/m0/s1	MVORZMQFXBLMHM-QWRGUYRKSA-N			Not Available	Small Molecule																																			0	No	7	6	No	1	1	176.22 Å2	34.52 Å3	84.91 m3·mol-1	11	No	No	3.14 mg/mL	-5.1	-2	3.46	10.2			
C30H54N6O5	Not Available	Not Available	578.799	CCCCCCCCCCCCCCCC(=O)NCC(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CCCCN)C(O)=O	Not Available	Not Available								8407354												1722914			ZINC000113569616		Palmitoyl oligopeptide	Experimental	DB11297	InChI=1S/C30H54N6O5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-18-27(37)33-22-28(38)35-26(20-24-21-32-23-34-24)29(39)36-25(30(40)41)17-15-16-19-31/h21,23,25-26H,2-20,22,31H2,1H3,(H,32,34)(H,33,37)(H,35,38)(H,36,39)(H,40,41)/t25-,26-/m0/s1	BYUQATUKPXLFLZ-UIOOFZCWSA-N			Not Available	Small Molecule																																			0	No	7	6	No	1	0	179.3 Å2	68.63 Å3	158.79 m3·mol-1	26	No	No	0.00146 mg/mL	1.24	-5.6	3.49	10.2			
C9H12N2O4S	Not Available	Half life of 4 h 5.	244.27	OC(=O)[C@@H]1CSCN1C(=O)[C@@H]1CCC(=O)N1	Solid	Not Available						94618	CHEMBL1488165	59348					D07261				65944	310265231		40450		Pidotimod	ZINC000003781245		Pidotimod	Experimental	DB11364	InChI=1S/C9H12N2O4S/c12-7-2-1-5(10-7)8(13)11-4-16-3-6(11)9(14)15/h5-6H,1-4H2,(H,10,12)(H,14,15)/t5-,6-/m0/s1	UUTKICFRNVKFRG-WDSKDSINSA-N	4	Pidotimod is a synthetic agent with immunomodulatory properties used in patients with documented cell-mediated immunosuppression to stimulate their immunity during lung and urinary tract infections.	Not Available	Small Molecule																																			1	No	4	2	No	2	-1	86.71 Å2	22.47 Å3	55.83 m3·mol-1	2	Yes	No	19.5 mg/mL	-1.3	-1.1	3.57	-2.2			
C19H27N3O6	Not Available	Not Available	393.44	OC(=O)CNC(=O)C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O	Not Available	Not Available							CHEMBL3544988	33427356									91617630	347828049				Daprodustat	ZINC000231226004		Daprodustat	Investigational	DB11682	InChI=1S/C19H27N3O6/c23-14(24)11-20-16(25)15-17(26)21(12-7-3-1-4-8-12)19(28)22(18(15)27)13-9-5-2-6-10-13/h12-13,15H,1-11H2,(H,20,25)(H,23,24)	RUEYEZADQJCKGV-UHFFFAOYSA-N	3		Not Available	Small Molecule																																			1	Yes	6	2	No	3	-2	124.09 Å2	40.18 Å3	96.89 m3·mol-1	5	Yes	No	0.345 mg/mL	1.4	-3.1	0.35	-9.1			
C41H62N12O11	Not Available	Not Available	899.02	[H][C@](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)([C@@H](C)CC)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(O)=O	Not Available	Not Available					85556	55438	CHEMBL3545347	110354									123805	347828083					ZINC000096077632		Angiotensin 1-7	Investigational	DB11720	InChI=1S/C41H62N12O11/c1-5-22(4)33(38(61)50-29(17-24-19-45-20-47-24)39(62)53-15-7-9-30(53)40(63)64)52-36(59)28(16-23-10-12-25(54)13-11-23)49-37(60)32(21(2)3)51-35(58)27(8-6-14-46-41(43)44)48-34(57)26(42)18-31(55)56/h10-13,19-22,26-30,32-33,54H,5-9,14-18,42H2,1-4H3,(H,45,47)(H,48,57)(H,49,60)(H,50,61)(H,51,58)(H,52,59)(H,55,56)(H,63,64)(H4,43,44,46)/t22-,26-,27-,28-,29-,30-,32-,33-/m0/s1	PVHLMTREZMEJCG-GDTLVBQBSA-N	2		Not Available	Small Molecule																																			0	No	16	13	Yes	3	1	377.24 Å2	92.45 Å3	238.19 m3·mol-1	25	No	No	0.0399 mg/mL	-6.3	-4.4	2.95	11.74			
C10H20BN3O3	Not Available	10-13 hours	241.1	OB(O)[C@@H]1CCCN1C(=O)CN[C@@H]1CCNC1	Not Available	Not Available								9428517									11253490	347828085					ZINC000169746730		Dutogliptin	Investigational	DB11723	InChI=1S/C10H20BN3O3/c15-10(7-13-8-3-4-12-6-8)14-5-1-2-9(14)11(16)17/h8-9,12-13,16-17H,1-7H2/t8-,9+/m1/s1	DVJAMEIQRSHVKC-BDAKNGLRSA-N	3		Not Available	Small Molecule																																			1	No	5	4	No	2	1	84.83 Å2	25.94 Å3	58.91 m3·mol-1	4	Yes	No	6.93 mg/mL	-2.4	-1.5	8.63	10.1	P27487	DPP4	1. Dipeptidyl peptidase 4
C27H34N4O3	Not Available	Not Available	462.594	CN(C)C(=O)[C@@H]1CCCN1C(=O)NCC1=CC=C(C=C1C)C(=O)N1CCCCC2=C1C=CC=C2	Not Available	Not Available					50246575		CHEMBL518043	8473853									10298385	347828092					ZINC000038471398		Fedovapagon	Investigational	DB11734	InChI=1S/C27H34N4O3/c1-19-17-21(25(32)30-15-7-6-10-20-9-4-5-11-23(20)30)13-14-22(19)18-28-27(34)31-16-8-12-24(31)26(33)29(2)3/h4-5,9,11,13-14,17,24H,6-8,10,12,15-16,18H2,1-3H3,(H,28,34)/t24-/m0/s1	RUOLFWZIFNQQGH-DEOSSOPVSA-N	3		Not Available	Small Molecule																																			1	No	3	1	No	4	0	72.96 Å2	51.2 Å3	133.63 m3·mol-1	4	Yes	No	0.0762 mg/mL	3.17	-3.8	14.79	-1.8			
C20H27N3O6	Not Available	Not Available	405.4449	[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(=O)OCC)C(=O)N1C(=O)N(C)C[C@@]1([H])C(O)=O	Not Available	Not Available					50020400	135654	CHEMBL317094	4576628			HMDB0041907					PA452640	5464343	347828133		60245		Imidapril	ZINC000003784427		Imidapril	Investigational	DB11783	InChI=1S/C20H27N3O6/c1-4-29-19(27)15(11-10-14-8-6-5-7-9-14)21-13(2)17(24)23-16(18(25)26)12-22(3)20(23)28/h5-9,13,15-16,21H,4,10-12H2,1-3H3,(H,25,26)/t13-,15-,16-/m0/s1	KLZWOWYOHUKJIG-BPUTZDHNSA-N		Imidapril is an ACE inhibitor used in the treatment of essential hypertension.	Not Available	Small Molecule																																			1	Yes	6	2	No	2	-1	116.25 Å2	42.36 Å3	103.2 m3·mol-1	10	Yes	No	0.447 mg/mL	-0.23	-3	3.49	5.22			
